artist;song;year
The All-American Rejects;Dirty Little Secret;2005
James Morrison;Wonderful World;2006
Chris Brown;Yo (Excuse Me Miss);2005
P!nk;Who Knew;2006
The Kooks;Naive;2006
Leona Lewis;Bleeding Love;2007
Rihanna;Umbrella;2008
Britney Spears;Gimme More;2007
Fergie;Big Girls Don't Cry (Personal);2006
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;2007
Plain White T's;Hey There Delilah;2005
Justin Timberlake;What Goes Around.../...Comes Around (Interlude);2006
Gwen Stefani;The Sweet Escape;2006
Timbaland;The Way I Are;2007
Nelly Furtado;Say It Right;2006
Ida Corr;Let Me Think About It;2012
Alex Gaudino;Destination Calabria - Radio Edit;2007
September;Cry for You;2007
Akon;Smack That;2006
Timbaland;Give It To Me;2007
50 Cent;Ayo Technology;2007
Eric Prydz;Proper Education - Radio Edit;2007
Fedde Le Grand;Put Your Hands Up For Detroit - Radio Edit;2015
Ciara;Like a Boy;2006
Kanye West;Stronger;2007
Beyoncé;Beautiful Liar;2007
Gym Class Heroes;Cupid's Chokehold / Breakfast in America - Radio Mix;2007
Akon;I Wanna Love You;2006
Soulja Boy;Crank That (Soulja Boy);2007
Fat Joe;Make It Rain;2006
P!nk;U + Ur Hand;2006
Rihanna;Shut Up And Drive;2008
Lloyd;Get It Shawty;2007
Kanye West;Can't Tell Me Nothing;2007
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;2006
Linkin Park;What I've Done;2007
Keyshia Cole;Last Night;2007
Chris Brown;Kiss Kiss (feat. T-Pain);2007
Shop Boyz;Party Like A Rock Star;2007
Finger Eleven;Paralyzer;2007
Justin Timberlake;Summer Love;2006
MiMS;This Is Why I'm Hot;2007
Fabolous;Make Me Better;2007
Seether;Fake It;2007
Take That;Patience;2006
Arctic Monkeys;Brianstorm;2007
Justin Timberlake;My Love (feat. T.I.);2006
Fergie;Glamorous;2006
Linkin Park;Bleed It Out;2007
My Chemical Romance;Teenagers;2006
Calvin Harris;Acceptable in the 80's;2007
Sugababes;About You Now;2007
Avril Lavigne;Girlfriend;2007
Ne-Yo;Because Of You;2007
Daughtry;It's Not Over;2016
Unk;Walk It Out;2013
Lloyd;You;2007
Klaxons;Golden Skans;2007
T-Pain;Bartender (feat. Akon);2007
Baby Boy Da Prince;The Way I Live - Main Explicit;2006
Fergie;Fergalicious;2006
Omarion;Ice Box;2006
Pretty Ricky;On the Hotline - Amended Version;2007
Nickelback;Rockstar;2005
Fall Out Boy;Thnks fr th Mmrs;2007
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);2006
All Time Low;Dear Maria, Count Me In;2007
Amy Winehouse;Back To Black;2006
Keyshia Cole;Let It Go;2007
Ciara;Promise;2006
Enrique Iglesias;Do You Know? (The Ping Pong Song);2007
T2;Heartbroken - Edit;2017
Robyn;With Every Heartbeat;2005
Maroon 5;Makes Me Wonder;2007
Fall Out Boy;This Ain't A Scene, It's An Arms Race;2007
Paramore;Misery Business;2007
Hinder;Better Than Me;2019
Huey;Pop, Lock & Drop It - Video Edit;2006
Foo Fighters;The Pretender;2007
Plies;Shawty (feat. T Pain);2007
Kaiser Chiefs;Ruby;2007
Mark Ronson;Stop Me (feat. Daniel Merriweather);2007
Bow Wow;Outta My System (feat. T-Pain & Johntá Austin);2006
Jim Jones;We Fly High;2006
The Red Jumpsuit Apparatus;Face Down;2006
MIKA;Grace Kelly;2006
Christina Aguilera;Candyman;2006
Sean Kingston;Beautiful Girls;2007
Akon;Don't Matter;2006
James Blunt;1973;2007
Carrie Underwood;Before He Cheats;2005
Just Jack;Starz In Their Eyes;2006
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);2007
Bone Thugs-N-Harmony;I Tried;2007
Avril Lavigne;When You're Gone;2007
Rich Boy;Throw Some D's;2007
MIKA;Love Today;2006
Manic Street Preachers;Your Love Alone Is Not Enough (feat. Nina Persson);2007
Elliott Yamin;Wait for You;2007
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);2007
Boys Like Girls;The Great Escape;2007
Take That;Rule The World - Radio Edit;2007
J. Holiday;Bed;2007
Red Hot Chili Peppers;Snow (Hey Oh);2006
Ludacris;Runaway Love;2006
Flo Rida;Low (feat. T-Pain);2008
Katy Perry;I Kissed A Girl;2008
Rihanna;Take A Bow;2008
Alicia Keys;No One;2007
Timbaland;Apologize;2007
Ne-Yo;Miss Independent;2008
Chris Brown;With You;2007
Beyoncé;If I Were a Boy;2008
Kardinal Offishall;Dangerous;2008
Madcon;Beggin (original version);2007
September;Cry for You;2007
Rihanna;Disturbia;2008
Guru Josh Project;Infinity 2008;2011
Britney Spears;Break the Ice;2007
Lil Wayne;Lollipop;2008
Basshunter;Now You're Gone - Video Edit;2008
Kanye West;Flashing Lights;2007
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);2009
Katy Perry;Hot N Cold;2008
Rihanna;Don't Stop The Music;2008
Snoop Dogg;Sensual Seduction;2007
Akon;Right Now (Na Na Na);2008
Britney Spears;Womanizer;2008
Eric Prydz;Pjanoo - Radio Edit;2008
Kelly Rowland;Work;2010
Jeezy;Put On;2008
Madonna;Give It 2 Me;2008
The Pussycat Dolls;When I Grow Up;2008
will.i.am;Heartbreaker;2007
Soulja Boy;Crank That (Soulja Boy);2007
Britney Spears;Piece of Me;2007
T.I.;Live Your Life;2008
Ne-Yo;Closer;2008
Lil Wayne;A Milli;2008
Colby O'Donis;What You Got;2008
Miley Cyrus;See You Again;2007
Basshunter;All I Ever Wanted - Radio Edit;2008
Chris Brown;Kiss Kiss (feat. T-Pain);2007
Finger Eleven;Paralyzer;2007
Alesha Dixon;The Boy Does Nothing;2008
Dizzee Rascal;Dance Wiv Me - Radio Edit;2011
Gabriella Cilmi;Sweet About Me;2008
Jack White;Another Way to Die;2007
Plies;Hypnotized (feat. Akon);2007
The Pussycat Dolls;I Hate This Part;2008
Sean Kingston;Take You There;2008
Natasha Bedingfield;Pocketful of Sunshine;2008
The Offspring;You're Gonna Go Far, Kid;2008
Kanye West;Homecoming;2007
Estelle;American Boy;2008
Saving Abel;Addicted;2008
Pendulum;Propane Nightmares;2008
The Game;My Life;2008
Danity Kane;Damaged;2008
P!nk;So What;2008
Kanye West;Love Lockdown;2008
Gym Class Heroes;Cookie Jar (feat. The-Dream);2008
M.I.A.;Paper Planes;2007
3 Doors Down;It's Not My Time;2008
Kylie Minogue;Wow;2007
Mariah Carey;Touch My Body;2008
MGMT;Kids;2007
The Ting Tings;Shut Up and Let Me Go;2007
Lil Wayne;Got Money;2008
Santana;Into the Night (feat. Chad Kroeger);2007
The-Dream;I Luv Your Girl;2007
Wiley;Wearing My Rolex - Radio Edit;2008
Usher;Love in This Club (feat. Young Jeezy);2008
Sam Sparro;Black & Gold - Radio Edit;2008
"H ""two"" O";What's It Gonna Be (feat. Platnum);2008
The Ting Tings;That's Not My Name;2008
Plies;Bust It Baby, Pt. 2 (feat. Ne-Yo);2008
James Morrison;Broken Strings;2008
Leona Lewis;Run;2007
Metro Station;Shake It;2007
T.I.;Whatever You Like;2008
Trey Songz;Can't Help but Wait;2007
OneRepublic;Stop And Stare;2007
Alexandra Burke;Hallelujah;2009
Mary J. Blige;Just Fine;2007
Jordin Sparks;One Step At a Time;2007
Coldplay;Viva La Vida;2008
Kings of Leon;Sex on Fire;2008
Kanye West;Good Life;2007
Duffy;Mercy;2008
David Archuleta;Crush;2008
J. Holiday;Suffocate - Superclean;2007
Gavin DeGraw;In Love With a Girl;2008
Jordin Sparks;Tattoo;2007
Coldplay;Violet Hill;2008
Ray J;Sexy Can I feat. Yung Berg;2008
Jennifer Hudson;Spotlight;2008
John Legend;Green Light (feat. André 3000);2008
Jonas Brothers;Burnin' Up;2008
Lupe Fiasco;Superstar (feat. Matthew Santos);2007
Chris Brown;Forever;2008
Adele;Chasing Pavements;2008
Leona Lewis;Better in Time;2007
Fergie;Clumsy;2006
T-Pain;Can't Believe It (feat. Lil' Wayne);2008
Black Eyed Peas;I Gotta Feeling;2009
Lady Gaga;Poker Face;2008
Beyoncé;Halo;2008
David Guetta;Sexy Bitch (feat. Akon);2010
Flo Rida;Right Round;2009
Taylor Swift;Love Story;2008
Pitbull;Hotel Room Service;2009
Britney Spears;Circus;2008
Lady Gaga;LoveGame;2008
Skillet;Monster;2009
The Prodigy;Omen;2009
Black Eyed Peas;Meet Me Halfway;2009
Kanye West;Heartless;2008
Kid Cudi;Day 'N' Nite (Nightmare);2009
Lady Gaga;Just Dance;2008
Britney Spears;If U Seek Amy;2008
Pitbull;I Know You Want Me (Calle Ocho);2009
Mariah Carey;Obsessed;2009
Beyoncé;Sweet Dreams;2008
Agnes;Release Me;2009
Black Eyed Peas;Boom Boom Pow;2009
Shakira;She Wolf;2009
Lady Gaga;Paparazzi;2008
JAY-Z;Empire State Of Mind;2009
OneRepublic;All The Right Moves;2009
Jeremih;Birthday Sex;2009
Cascada;Evacuate The Dancefloor;2009
Linkin Park;New Divide;2009
Kevin Rudolf;Let It Rock;2008
JAY-Z;Run This Town;2009
Lady Gaga;Bad Romance;2009
T.I.;Live Your Life;2008
Eminem;We Made You;2009
Dizzee Rascal;Bonkers;2011
Ciara;Love Sex Magic (feat. Justin Timberlake);2009
Rihanna;Russian Roulette;2009
Soulja Boy;Turn My Swag On;2008
The xx;Intro;2009
Jay Sean;Down;2009
Keri Hilson;Turnin Me On - Original Dirty;2008
David Guetta;When Love Takes Over (feat. Kelly Rowland);2010
Cheryl;Fight For This Love;2009
Soulja Boy;Kiss Me Thru The Phone;2008
Eminem;Crack A Bottle;2009
P!nk;Sober;2010
Tinchy Stryder;Number 1;2009
Pixie Lott;Mama Do (Uh Oh, Uh Oh);2009
JLS;Beat Again - Radio Edit;2009
3OH!3;DONTTRUSTME;2008
A.R. Rahman;Jai Ho! (You Are My Destiny);2009
The Pussycat Dolls;I Hate This Part;2008
Akon;Beautiful;2008
Alexandra Burke;Bad Boys (feat. Flo Rida);2009
Mario;Break Up;2009
Drake;Forever;2009
Selena Gomez & The Scene;Naturally;2009
Kanye West;Love Lockdown;2008
The Veronicas;Untouched;2005
Fabolous;Throw It In The Bag;2009
Jason Derulo;Whatcha Say;2010
Lily Allen;Not Fair;2009
T.I.;Dead And Gone;2008
Sean Kingston;Fire Burning;2009
Empire of the Sun;Walking On A Dream;2008
Cobra Starship;Good Girls Go Bad (feat. Leighton Meester);2009
Nickelback;If Today Was Your Last Day;2008
La Roux;Bulletproof;2009
Kasabian;Fire;2009
Calvin Harris;I'm Not Alone - Radio Edit;2009
Justin Bieber;One Time;2009
Jamie Foxx;Blame It;2008
La Roux;In For The Kill;2009
Muse;Uprising;2009
Nickelback;Gotta Be Somebody;2008
James Morrison;Broken Strings;2008
T.I.;Whatever You Like;2008
Dizzee Rascal;Holiday;2011
Beyoncé;Single Ladies (Put a Ring on It);2008
Boys Like Girls;Love Drunk;2009
The-Dream;Rockin' That Shit;2009
OneRepublic;Secrets;2009
JLS;Everybody in Love;2013
Jason Aldean;Big Green Tractor;2009
The Fray;Never Say Never;2009
Lily Allen;The Fear;2009
Kings of Leon;Sex on Fire;2008
Drake;Best I Ever Had;2010
Kelly Clarkson;Already Gone;2009
Miley Cyrus;Party In The U.S.A.;2009
Jordin Sparks;Battlefield;2009
Ne-Yo;Mad;2008
Green Day;21 Guns;2009
Keri Hilson;Knock You Down;2009
Taylor Swift;You Belong With Me;2008
Shinedown;Second Chance;2008
Asher Roth;I Love College;2009
Katy Perry;Waking Up In Vegas;2008
Kelly Clarkson;My Life Would Suck Without You;2009
Mumford & Sons;Little Lion Man;2009
The Fray;You Found Me;2009
Bruno Mars;Just the Way You Are;2010
Eminem;Love The Way You Lie;2010
Lady Gaga;Bad Romance;2009
Stromae;Alors on danse - Radio Edit;2010
Kesha;TiK ToK;2010
David Guetta;Memories (feat. Kid Cudi);2010
Taio Cruz;Dynamite;2010
Rihanna;Only Girl (In The World);2010
Katy Perry;California Gurls;2012
Kesha;Take It Off;2010
INNA;Hot - Play & Win Radio Version;2010
Far East Movement;Like A G6;2010
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);2010
Duck Sauce;Barbra Streisand - Radio Edit;2010
Lucenzo;Danza Kuduro (feat. Don Omar);2011
Rihanna;Te Amo;2009
Timbaland;Carry Out (Featuring Justin Timberlake);2009
DJ Fresh;Gold Dust - Radio Edit;2010
Edward Maya;Stereo Love - Radio Edit;2010
Taio Cruz;Break Your Heart;2010
Black Eyed Peas;Imma Be;2009
Sidney Samson;Riverside;2009
Eminem;Not Afraid;2010
Lady Gaga;Alejandro;2009
Rihanna;Rude Boy;2009
Ne-Yo;Beautiful Monster;2010
3OH!3;Starstrukk;2010
Black Eyed Peas;The Time (Dirty Bit);2010
Kelly Rowland;Commander;2011
Swedish House Mafia;One (Your Name) - Radio Edit;2010
Chris Brown;Deuces (feat. Tyga & Kevin McCall);2011
Usher;DJ Got Us Fallin' In Love (feat. Pitbull);2010
Iyaz;Replay;2009
Flo Rida;Club Can't Handle Me (feat. David Guetta);2010
Sean Kingston;Eenie Meenie;2010
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);2010
Tinie Tempah;Written in the Stars (feat. Eric Turner);2010
Bruno Mars;Talking to the Moon;2010
Miley Cyrus;Can't Be Tamed;2010
Mike Posner;Cooler Than Me - Single Mix;2010
Lady Gaga;Telephone;2009
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);2010
Rihanna;Hard;2009
Tinie Tempah;Pass Out;2010
Adam Lambert;Whataya Want from Me;2009
Trey Songz;Bottoms Up (feat. Nicki Minaj);2010
Timbaland;If We Ever Meet Again (Featuring Katy Perry);2009
Enrique Iglesias;I Like It;2010
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;2010
Usher;OMG (feat. will.i.am);2010
Maroon 5;Misery;2010
Jay Sean;Down;2009
Rihanna;Man Down;2010
3OH!3;My First Kiss (feat. Ke$ha);2010
Justin Bieber;Baby;2010
Cali Swag District;Teach Me How to Dougie;2011
Swedish House Mafia;Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;2010
K'NAAN;Wavin' Flag;2009
Ludacris;How Low;2010
Kesha;Blah Blah Blah (feat. 3OH!3);2010
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);2010
Jason Derulo;In My Head;2010
Aloe Blacc;I Need A Dollar;2010
B.o.B;Airplanes (feat. Hayley Williams of Paramore);2010
Ludacris;My Chick Bad;2010
Nelly;Just A Dream;2010
Rihanna;What's My Name?;2010
Shontelle;Impossible;2010
Take That;The Flood;2010
Trey Songz;Say Aah (feat. Fabolous);2009
Jason Derulo;Whatcha Say;2010
Drake;Over;2010
Example;Kickstarts;2010
Plan B;She Said;2010
The Saturdays;Higher;2010
Jay Sean;Do You Remember;2009
Usher;Hey Daddy (Daddy's Home);2010
Lil Wayne;Right Above It;2010
The Wanted;All Time Low;2010
Kesha;Your Love Is My Drug;2010
Ellie Goulding;Starry Eyed;2010
Drake;Find Your Love;2010
Jason Derulo;Ridin' Solo;2010
Two Door Cinema Club;What You Know;2010
JAY-Z;Young Forever;2009
Young Money;BedRock;2009
B.o.B;Nothin' on You (feat. Bruno Mars);2010
Katy Perry;Teenage Dream;2010
Scouting For Girls;This Ain't a Love Song;2017
Travie McCoy;Billionaire (feat. Bruno Mars);2010
Owl City;Fireflies;2009
Alicia Keys;Empire State of Mind (Part II) Broken Down;2009
Lady A;Need You Now;2010
Taylor Swift;Back To December;2010
Neon Trees;Animal;2010
Kris Allen;Live Like We're Dying;2009
Matt Cardle;When We Collide;2011
Robyn;Dancing On My Own;2010
The Band Perry;If I Die Young;2010
B.o.B;Magic (feat. Rivers Cuomo);2010
Adele;Rolling in the Deep;2011
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";2010
LMFAO;Party Rock Anthem;2011
Katy Perry;Firework;2010
Bruno Mars;Grenade;2010
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);2011
Alexandra Stan;Mr. Saxobeat;2011
David Guetta;Who's That Chick? (feat. Rihanna);2010
Jennifer Lopez;On The Floor;2011
Rihanna;S&M;2010
Kesha;Blow;2010
Snoop Dogg;Sweat - Remix;2011
Taio Cruz;Higher;2010
Usher;More - RedOne Jimmy Joker Remix;2010
Example;Changed the Way You Kiss Me - Radio Edit;2011
Black Eyed Peas;Just Can’t Get Enough;2010
David Guetta;Where Them Girls At (feat. Nicki Minaj & Flo Rida);2012
Lykke Li;I Follow Rivers - The Magician Remix;2011
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);2011
Selena Gomez & The Scene;Love You Like A Love Song;2011
Wiz Khalifa;Black and Yellow;2011
Katy Perry;E.T.;2012
Britney Spears;I Wanna Go;2011
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);2011
Edward Maya;Stereo Love - Radio Edit;2010
Enrique Iglesias;Tonight (I'm Fuckin' You);2010
Jeremih;Down On Me;2010
Sak Noel;Loca People - Radio Edit;2011
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);2011
LMFAO;Sexy And I Know It;2011
Cobra Starship;You Make Me Feel... (feat. Sabi);2011
Jessie J;Do It Like A Dude;2011
DJ Fresh;Louder (feat. Sian Evans) - Radio Edit;2012
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);2010
Nickelback;When We Stand Together;2011
M83;Midnight City;2011
Britney Spears;Till the World Ends;2011
Labrinth;Earthquake (feat. Tinie Tempah);2012
Jason Derulo;Don't Wanna Go Home;2011
Coldplay;Paradise;2011
Katy Perry;Last Friday Night (T.G.I.F.);2012
Adele;Set Fire to the Rain;2011
Dr. Dre;I Need A Doctor;2011
Lil Wayne;6 Foot 7 Foot;2011
DJ Khaled;I'm On One;2011
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);2011
Far East Movement;Rocketeer;2010
The Wanted;Glad You Came;2011
Kesha;We R Who We R;2010
Kelly Rowland;Motivation;2011
Rihanna;We Found Love;2011
Nicole Scherzinger;Don't Hold Your Breath;2011
Mann;Buzzin Remix;2011
Chris Brown;Yeah 3x;2011
Swedish House Mafia;Save The World;2011
Kanye West;All Of The Lights;2010
Miguel;Sure Thing;2010
Diddy - Dirty Money;Coming Home;2010
Rihanna;What's My Name?;2010
Chris Brown;Beautiful People;2019
Avril Lavigne;What the Hell;2011
Professor Green;Read All About It;2011
Chase & Status;Blind Faith;2011
Chip;Champion (feat. Chris Brown);2011
Selena Gomez & The Scene;Who Says;2011
Rizzle Kicks;Down With The Trumpets;2011
Lady Gaga;Born This Way;2011
Nicki Minaj;Super Bass;2010
Mac Miller;Donald Trump;2011
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;2012
David Guetta;Without You (feat. Usher);2012
Foster The People;Pumped Up Kicks;2011
Drake;Headlines;2011
Jessie J;Price Tag;2011
Jason Aldean;Dirt Road Anthem;2010
Wiz Khalifa;Roll Up;2011
OneRepublic;Good Life;2009
Bad Meets Evil;Lighters;2011
Bruno Mars;The Lazy Song;2010
Lupe Fiasco;The Show Goes On;2011
James Morrison;I Won't Let You Go;2011
Jason Derulo;It Girl;2011
Adele;Someone Like You;2011
Red Hot Chili Peppers;The Adventures of Rain Dance Maggie;2011
Keri Hilson;Pretty Girl Rock;2010
P!nk;F**kin' Perfect;2010
Blake Shelton;Honey Bee;2011
Lady Gaga;The Edge Of Glory;2011
Lady A;Just A Kiss;2011
Hot Chelle Rae;Tonight Tonight;2011
Grouplove;Tongue Tied;2011
Coldplay;Every Teardrop Is a Waterfall;2011
Beyoncé;Best Thing I Never Had;2011
P!nk;Raise Your Glass;2010
Christina Perri;Jar of Hearts;2011
Bruno Mars;Marry You;2010
The Band Perry;If I Die Young;2010
Lil Wayne;How To Love;2011
Charlene Soraia;Wherever You Will Go;2011
Christina Perri;A Thousand Years;2011
Rihanna;We Found Love;2011
Carly Rae Jepsen;Call Me Maybe;2012
fun.;We Are Young (feat. Janelle Monáe);2012
Sean Paul;She Doesn't Mind;2012
Pitbull;International Love (feat. Chris Brown);2011
DEV;In The Dark;2012
Adele;Skyfall;2012
David Guetta;Turn Me On (feat. Nicki Minaj);2012
Rihanna;Where Have You Been;2011
JAY-Z;Ni**as In Paris;2011
Maroon 5;One More Night;2012
Skrillex;Bangarang (feat. Sirah);2011
The Wanted;Chasing The Sun;2012
Flo Rida;Whistle;2012
will.i.am;This Is Love;2013
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];2012
Nicki Minaj;Pound The Alarm;2012
Kendrick Lamar;Swimming Pools (Drank) - Extended Version;2012
MARINA;Primadonna;2012
Kanye West;Mercy;2012
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;2012
LMFAO;Sexy And I Know It;2011
PSY;Gangnam Style (강남스타일);2012
Kesha;Die Young;2012
Usher;Scream;2012
Olly Murs;Troublemaker (feat. Flo Rida);2012
Linkin Park;BURN IT DOWN;2012
Bruno Mars;Locked out of Heaven;2012
Avicii;Levels - Radio Edit;2011
Flo Rida;Good Feeling;2012
Rihanna;Diamonds;2012
Wiz Khalifa;Work Hard, Play Hard;2012
Katy Perry;Part Of Me;2012
Nicki Minaj;Starships;2012
Kendrick Lamar;m.A.A.d city;2012
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];2012
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;2011
Azealia Banks;212;2014
Maroon 5;Payphone;2012
James Arthur;Impossible;2013
Michel Teló;Ai Se Eu Te Pego - Live;2012
Otto Knows;Million Voices - Radio Edit;2012
Icona Pop;I Love It;2012
Tyga;Rack City;2012
Calvin Harris;Feel So Close - Radio Edit;2012
Jennifer Lopez;Dance Again;2012
Grimes;Oblivion;2012
Adele;Rumour Has It;2011
Coldplay;Paradise;2011
Chris Brown;Turn Up the Music;2012
Frank Ocean;Lost;2012
Calvin Harris;Let's Go (feat. Ne-Yo);2012
The Script;Hall of Fame (feat. will.i.am);2012
Swedish House Mafia;Don't You Worry Child - Radio Edit;2012
MARINA;How to Be a Heartbreaker;2012
Justin Bieber;Boyfriend;2012
David Guetta;Titanium (feat. Sia);2012
Jessie J;Domino;2011
Taylor Swift;I Knew You Were Trouble.;2012
ScHoolboy Q;Hands on the Wheel (feat. Asap Rocky);2012
P!nk;Try;2012
Robbie Williams;Candy;2012
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);2011
Justin Bieber;As Long As You Love Me;2012
Rita Ora;R.I.P. (feat. Tinie Tempah);2012
Alex Clare;Too Close;2011
Tyga;Faded;2012
Alesso;Years - ラジオ・エディット;2012
Guy Sebastian;Battle Scars (feat. Lupe Fiasco);2012
Katy Perry;The One That Got Away;2012
Avicii;Silhouettes - Original Radio Edit;2012
Gotye;Somebody That I Used To Know;2011
Flo Rida;Wild Ones (feat. Sia);2012
One Direction;What Makes You Beautiful;2012
Lana Del Rey;Born To Die;2012
Kesha;C'Mon;2012
Owl City;Good Time;2012
Calvin Harris;We'll Be Coming Back (feat. Example);2012
Emeli Sandé;Read All About It, Pt. III;2012
Ellie Goulding;Lights - Single Version;2010
Train;Drive By;2012
Disclosure;Latch;2013
Coldplay;Princess of China;2011
One Direction;Live While We're Young;2012
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);2011
Carrie Underwood;Blown Away;2012
alt-J;Breezeblocks;2012
Chris Brown;Don't Wake Me Up;2012
Kelly Clarkson;Stronger (What Doesn't Kill You);2011
Drake;The Motto;2011
Katy Perry;Wide Awake;2012
Rita Ora;How We Do (Party);2012
Rudimental;Feel the Love (feat. John Newman);2013
Lana Del Rey;Ride;2012
Ne-Yo;Let Me Love You (Until You Learn To Love Yourself);2012
Demi Lovato;Give Your Heart a Break;2011
Drake;Take Care;2011
Little Mix;Wings;2012
Bruno Mars;It Will Rain;2011
Cher Lloyd;Want U Back;2011
Lorde;Royals;2013
Robin Thicke;Blurred Lines;2013
Imagine Dragons;Radioactive;2012
Avicii;Wake Me Up;2013
Bruno Mars;Locked out of Heaven;2012
Macklemore & Ryan Lewis;Thrift Shop (feat. Wanz);2012
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;2013
will.i.am;Scream & Shout;2013
Stromae;Papaoutai;2013
Bingo Players;Get Up (Rattle) - Vocal Edit;2013
Naughty Boy;La La La;2013
Tom Odell;Another Love;2013
2 Chainz;We Own It (Fast & Furious);2013
David Guetta;Play Hard (feat. Ne-Yo & Akon);2012
Pitbull;Feel This Moment (feat. Christina Aguilera);2012
will.i.am;#thatPOWER;2013
Lil Wayne;Love Me;2013
Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);2012
Martin Garrix;Animals - Radio Edit;2013
Jason Derulo;Talk Dirty (feat. 2 Chainz);2013
John Newman;Love Me Again;2013
Britney Spears;Work B**ch;2013
The Neighbourhood;Sweater Weather;2013
Sebastian Ingrosso;Reload - Radio Edit;2013
Capital Cities;Safe And Sound;2013
Demi Lovato;Heart Attack;2013
Arctic Monkeys;Why'd You Only Call Me When You're High?;2013
Justin Bieber;Beauty And A Beat;2012
Eminem;The Monster;2013
Pitbull;Don't Stop the Party (feat. TJR);2012
Selena Gomez;Come & Get It;2013
P!nk;True Love (feat. Lily Allen);2012
Disclosure;White Noise;2013
Flo Rida;I Cry;2012
Kanye West;Black Skinhead;2013
Lana Del Rey;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;2013
Eminem;Berzerk;2013
Icona Pop;I Love It (feat. Charli XCX);2013
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);2013
Lorde;Team;2013
Avicii;I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;2012
Imagine Dragons;Demons;2012
One Direction;One Way or Another (Teenage Kicks);2013
Taylor Swift;I Knew You Were Trouble.;2012
Arctic Monkeys;Do I Wanna Know?;2013
Rudimental;Waiting All Night (feat. Ella Eyre);2013
Klangkarussell;Sonnentanz - Sun Don't Shine;2014
Calvin Harris;Drinking from the Bottle (feat. Tinie Tempah);2012
A$AP Rocky;F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);2013
P!nk;Try;2012
Ylvis;The Fox (What Does the Fox Say?);2013
Ellie Goulding;Burn;2014
Baauer;Harlem Shake;2013
Calvin Harris;I Need Your Love (feat. Ellie Goulding);2012
Katy Perry;This Is How We Do;2013
AWOLNATION;Sail;2011
Duke Dumont;Need U (100%) [feat. A*M*E] - Radio Edit;2013
Jason Derulo;The Other Side;2013
Storm Queen;Look Right Through - MK Vocal Edit;2014
Calvin Harris;Sweet Nothing (feat. Florence Welch);2012
Katy Perry;Unconditionally;2013
Wale;Bad (feat. Rihanna) - Remix;2013
Ciara;Body Party;2013
Drake;Started From the Bottom;2013
Birdy;Wings;2013
Bastille;Of The Night;2013
Olly Murs;Dear Darlin';2012
Katy Perry;Roar;2013
Blake Shelton;Sure Be Cool If You Did;2013
Calvin Harris;Thinking About You (feat. Ayah Marar);2012
JAY-Z;Holy Grail;2013
Bridgit Mendler;Ready or Not;2012
The Saturdays;What About Us;2013
Bastille;Pompeii;2013
One Direction;Best Song Ever;2013
Nelly;Hey Porsche;2013
Zedd;Clarity;2012
Miley Cyrus;Wrecking Ball;2013
Chris Brown;Fine China;2013
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);2013
Armin van Buuren;This Is What It Feels Like;2013
Justin Timberlake;Mirrors;2013
Bruno Mars;Treasure;2012
Of Monsters and Men;Little Talks;2012
Miley Cyrus;We Can't Stop;2013
J. Cole;Power Trip (feat. Miguel);2013
Paramore;Still into You;2013
Christina Perri;human;2013
Drake;Hold On, We're Going Home;2013
James Blunt;Bonfire Heart;2013
